Año Censal,Entidad,Municipio,farms,Total_Ingresos_Millones
2003,aguascalientes,aguascalientes,263.0,754.479
2003,aguascalientes,asientos,5.0,0.945
2003,aguascalientes,jesus maria,10.0,18.389
2003,aguascalientes,pabellon de arteaga,7.0,45.354
2003,aguascalientes,san francisco de los romo,4.0,1.989
2003,baja california,ensenada,129.0,363.929
2003,baja california,mexicali,257.0,1073.647
2003,baja california,tecate,38.0,94.064
2003,baja california,tijuana,625.0,1818.843
2003,baja california,playas de rosarito,40.0,96.582
2003,baja california sur,comondu,12.0,6.35
2003,baja california sur,la paz,57.0,233.91299999999998
2003,baja california sur,los cabos,55.0,89.94200000000001
2003,campeche,calkini,14.0,8.215
2003,campeche,campeche,53.0,159.283
2003,campeche,carmen,60.0,151.285
2003,campeche,champoton,21.0,7.766
2003,campeche,hecelchakan,5.0,4.462
2003,campeche,escarcega,16.0,6.105
2003,campeche,calakmul,5.0,1.278
2003,campeche,candelaria,9.0,4.873
2003,coahuila de zaragoza,acuna,41.0,108.411
2003,coahuila de zaragoza,allende,12.0,16.266
2003,coahuila de zaragoza,castanos,7.0,2.1159999999999997
2003,coahuila de zaragoza,cuatro cienegas,4.0,0.69
2003,coahuila de zaragoza,francisco i. madero,19.0,16.822
2003,coahuila de zaragoza,frontera,10.0,6.948
2003,coahuila de zaragoza,general cepeda,4.0,1.129
2003,coahuila de zaragoza,matamoros,28.0,25.816
2003,coahuila de zaragoza,monclova,52.0,132.275
2003,coahuila de zaragoza,muzquiz,15.0,20.638
2003,coahuila de zaragoza,ocampo,4.0,0.503
2003,coahuila de zaragoza,parras,12.0,3.537
2003,coahuila de zaragoza,piedras negras,47.0,147.94
2003,coahuila de zaragoza,ramos arizpe,5.0,5.07
2003,coahuila de zaragoza,sabinas,20.0,45.022
2003,coahuila de zaragoza,saltillo,129.0,459.972
2003,coahuila de zaragoza,san buenaventura,5.0,5.236
2003,coahuila de zaragoza,san juan de sabinas,11.0,16.224999999999998
2003,coahuila de zaragoza,san pedro,20.0,20.263
2003,coahuila de zaragoza,torreon,208.0,795.249
2003,coahuila de zaragoza,zaragoza,5.0,4.9
2003,colima,armeria,14.0,4.9639999999999995
2003,colima,colima,64.0,209.69400000000002
2003,colima,coquimatlan,7.0,3.815
2003,colima,cuauhtemoc,16.0,5.317
2003,colima,manzanillo,46.0,112.373
2003,colima,tecoman,49.0,78.746
2003,colima,villa de alvarez,20.0,60.713
2003,chiapas,acacoyagua,6.0,0.532
2003,chiapas,acala,12.0,4.455
2003,chiapas,altamirano,5.0,0.89
2003,chiapas,amatenango de la frontera,3.0,0.223
2003,chiapas,angel albino corzo,11.0,5.225
2003,chiapas,arriaga,20.0,37.287
2003,chiapas,berriozabal,11.0,6.172
2003,chiapas,bochil,18.0,6.131
2003,chiapas,cacahoatan,13.0,6.726
2003,chiapas,cintalapa,17.0,14.753
2003,chiapas,coapilla,5.0,0.388
2003,chiapas,comitan de dominguez,52.0,119.49000000000001
2003,chiapas,la concordia,7.0,1.0150000000000001
2003,chiapas,copainala,5.0,2.486
2003,chiapas,chicomuselo,9.0,1.133
2003,chiapas,escuintla,15.0,6.765
2003,chiapas,frontera comalapa,12.0,9.775
2003,chiapas,frontera hidalgo,3.0,0.531
2003,chiapas,huehuetan,13.0,2.897
2003,chiapas,huixtla,19.0,8.822
2003,chiapas,la independencia,3.0,0.326
2003,chiapas,ixhuatan,6.0,0.757
2003,chiapas,ixtapa,5.0,1.24
