entidad,municipio,num_units,num_units_municipio,Año Censal
aguascalientes,aguascalientes,4957,352.0,2024
aguascalientes,asientos,101,16.0,2024
aguascalientes,calvillo,274,16.0,2024
aguascalientes,cosio,42,6.0,2024
aguascalientes,el llano,34,2.0,2024
aguascalientes,jesus maria,409,30.0,2024
aguascalientes,pabellon de arteaga,253,17.0,2024
aguascalientes,rincon de romos,342,15.0,2024
aguascalientes,san francisco de los romo,158,14.0,2024
aguascalientes,san jose de gracia,32,3.0,2024
aguascalientes,tepezala,48,8.0,2024
baja california,ensenada,1379,202.0,2024
baja california,mexicali,2577,562.0,2024
baja california,playas de rosarito,381,77.0,2024
baja california,san felipe,71,11.0,2024
baja california,san quintin,274,32.0,2024
baja california,tecate,358,42.0,2024
baja california,tijuana,5736,856.0,2024
baja california sur,comondu,271,22.0,2024
baja california sur,la paz,878,115.0,2024
baja california sur,loreto,66,4.0,2024
baja california sur,los cabos,1199,194.0,2024
baja california sur,mulege,222,31.0,2024
campeche,calakmul,67,8.0,2024
campeche,calkini,156,18.0,2024
campeche,campeche,1159,143.0,2024
campeche,candelaria,126,19.0,2024
campeche,carmen,966,112.0,2024
campeche,champoton,313,32.0,2024
campeche,dzitbalche,53,6.0,2024
campeche,escarcega,239,22.0,2024
campeche,hecelchakan,98,13.0,2024
campeche,hopelchen,75,16.0,2024
campeche,palizada,29,2.0,2024
campeche,seybaplaya,67,5.0,2024
campeche,tenabo,46,4.0,2024
chiapas,acacoyagua,70,16.0,2024
chiapas,acala,150,19.0,2024
chiapas,acapetahua,70,13.0,2024
chiapas,aldama,4,2.0,2024
chiapas,altamirano,151,12.0,2024
chiapas,amatenango de la frontera,37,7.0,2024
chiapas,amatenango del valle,13,6.0,2024
chiapas,amatan,46,9.0,2024
chiapas,angel albino corzo,220,27.0,2024
chiapas,arriaga,226,16.0,2024
chiapas,bejucal de ocampo,1,1.0,2024
chiapas,bella vista,32,6.0,2024
chiapas,benemerito de las americas,93,16.0,2024
chiapas,berriozabal,169,35.0,2024
chiapas,bochil,178,14.0,2024
chiapas,cacahoatan,184,27.0,2024
chiapas,capitan luis angel vidal,8,1.0,2024
chiapas,catazaja,32,3.0,2024
chiapas,chalchihuitan,33,5.0,2024
chiapas,chamula,202,9.0,2024
chiapas,chanal,33,2.0,2024
chiapas,chapultenango,28,5.0,2024
chiapas,chenalho,55,15.0,2024
chiapas,chiapa de corzo,238,41.0,2024
chiapas,chiapilla,37,6.0,2024
chiapas,chicoasen,27,2.0,2024
chiapas,chicomuselo,160,15.0,2024
chiapas,chilon,161,22.0,2024
chiapas,cintalapa,337,34.0,2024
chiapas,coapilla,41,6.0,2024
chiapas,comitan de dominguez,1365,102.0,2024
chiapas,copainala,76,11.0,2024
chiapas,el bosque,43,9.0,2024
chiapas,el parral,110,16.0,2024
chiapas,el porvenir,66,4.0,2024
chiapas,emiliano zapata,49,6.0,2024
chiapas,escuintla,189,26.0,2024
chiapas,francisco leon,5,1.0,2024
chiapas,frontera comalapa,520,39.0,2024
chiapas,frontera hidalgo,26,4.0,2024
chiapas,huehuetan,93,15.0,2024
chiapas,huitiupan,22,2.0,2024
chiapas,huixtla,478,47.0,2024
chiapas,huixtan,17,2.0,2024
chiapas,ixhuatan,36,5.0,2024
chiapas,ixtacomitan,18,4.0,2024
chiapas,ixtapa,73,11.0,2024
chiapas,ixtapangajoya,10,2.0,2024
chiapas,jiquipilas,75,13.0,2024
chiapas,jitotol,69,9.0,2024
chiapas,juarez,65,14.0,2024
chiapas,la concordia,143,18.0,2024
chiapas,la grandeza,30,2.0,2024
chiapas,la independencia,152,19.0,2024
chiapas,la libertad,13,2.0,2024
chiapas,la trinitaria,178,15.0,2024
chiapas,larrainzar,78,16.0,2024
chiapas,las margaritas,376,21.0,2024
chiapas,las rosas,192,27.0,2024
chiapas,mapastepec,179,28.0,2024
chiapas,maravilla tenejapa,35,4.0,2024
chiapas,marques de comillas,20,3.0,2024
chiapas,mazapa de madero,10,1.0,2024
chiapas,mazatan,100,26.0,2024
chiapas,metapa,12,3.0,2024
chiapas,mezcalapa,93,14.0,2024
chiapas,mitontic,8,,2024
chiapas,montecristo de guerrero,42,7.0,2024
chiapas,motozintla,437,33.0,2024
chiapas,nicolas ruiz,15,5.0,2024
chiapas,ocosingo,760,62.0,2024
chiapas,ocotepec,35,6.0,2024
chiapas,ocozocoautla de espinosa,408,37.0,2024
chiapas,ostuacan,34,6.0,2024
chiapas,osumacinta,12,1.0,2024
chiapas,oxchuc,167,35.0,2024
chiapas,palenque,423,47.0,2024
chiapas,pantelho,98,13.0,2024
chiapas,pantepec,22,5.0,2024
chiapas,pichucalco,136,18.0,2024
chiapas,pijijiapan,177,18.0,2024
chiapas,pueblo nuevo solistahuacan,147,15.0,2024
chiapas,rayon,65,12.0,2024
chiapas,reforma,150,17.0,2024
chiapas,rincon chamula san pedro,12,1.0,2024
chiapas,sabanilla,72,8.0,2024
chiapas,salto de agua,77,8.0,2024
chiapas,san andres duraznal,18,3.0,2024
chiapas,san cristobal de las casas,1879,136.0,2024
chiapas,san fernando,94,10.0,2024
chiapas,san juan cancuc,55,26.0,2024
