Año Censal,Entidad,Municipio,Edad mediana,Grado promedio de escolaridad de la población de 15 y más años,Hogares censales,Población de 5 años y más que asiste a la escuela,Población derechohabiente a servicios de salud,Población en hogares censales,Población en hogares familiares,Población en hogares no familiares,Población total,Porcentaje de población de 15 a 29 años,Porcentaje de población de 60 y más años,Promedio de ocupantes en viviendas particulares habitadas,Tamaño promedio de los hogares censales,Total de viviendas particulares habitadas,Viviendas particulares habitadas,Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda,Viviendas particulares habitadas que disponen de computadora,Viviendas particulares habitadas que disponen de drenaje,Viviendas particulares habitadas que disponen de energía eléctrica,Viviendas particulares habitadas que disponen de excusado o sanitario,Viviendas particulares habitadas que disponen de lavadora,UE Unidades económicas,H010A Personal remunerado total,J000A Total de remuneraciones (millones de pesos),K000A Total de gastos por consumo de bienes y servicios (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A800A Total de ingresos (millones de pesos),A700A Total de gastos (millones de pesos),UE Sector 62 Servicios de salud y de asistencia social,UE Subsector 621 Servicios médicos de consulta externa y servicios relacionados,UE Subsector 622 Hospitales,UE Subsector 623 Residencias de asistencia social y para el cuidado de la salud,total_area,Prod_Bruta_Per_Capita,%_Pob_Derechohabiente,Densidad_Poblacional
2003,aguascalientes,aguascalientes,23.2,9.06,163227.6,204878.6,471755.4,680701.6,668204.4,11889.6,691193.4,27.740000000000002,6.58,4.32,4.18,159983.0,157954.6,154192.8,41287.8,154409.6,156006.0,154792.4,132843.6,11921.0,20043.0,928.782,15737.221,18402.716,4624.889,1654.141,2970.748,328.883,18482.622,15887.813,1209.0,1084.0,21.0,8.0,1166359247.6051147,6691.164875127569,68.25230102023544,0.5926076390436543
2008,aguascalientes,aguascalientes,24.6,9.606,190221.8,224559.4,574924.8,758534.0,740727.2,17287.0,767423.2,27.16,7.38,4.0440000000000005,3.996,190111.8,188387.0,184549.0,70146.8,185586.6,187048.2,186066.0,160670.2,13369.0,18581.0,1013.259,24128.092,27500.272,5995.763,2544.22,3451.543,374.148,27679.637,24405.56,1726.0,1446.0,23.0,12.0,1166359247.6051147,7812.8508494400485,74.91626523670382,0.657964689331996
2013,aguascalientes,aguascalientes,25.9,10.11820190399511,220783.1,238060.5,662516.3,837610.5,811816.5,25287.6,842604.0,26.96557612630478,8.64888977022455,3.821460759151696,3.821249218451296,221474.7,218065.4,217830.1,98180.1,218684.5,219858.0,219310.1,189717.8,14405.0,19216.0,1174.063,30446.953,35783.319,8466.542,3304.429,5162.113,417.154,36037.094,30852.028,2120.0,1791.0,18.0,26.0,1166359247.6051147,10048.067656930181,78.62724363995424,0.7224223597747594
2018,aguascalientes,aguascalientes,27.4,10.63187174398696,253636.6,249533.0,742406.8,914678.0,879284.0,34578.6,918594.0,26.57486967014608,10.230372720598801,3.623895357737856,3.623331249203456,253834.2,246389.4,251688.6,125853.6,252047.0,252663.0,252503.6,221485.8,15339.0,25051.0,1945.528,46296.771,58949.608,18238.493,5379.096,12859.397,841.352,59412.051,47067.235,2464.0,2170.0,26.0,33.0,1166359247.6051147,19854.7922150591,80.81990520295147,0.7875738130307185
2024,aguascalientes,aguascalientes,29.2,11.24827555197718,293060.8,263300.0,838275.4,1007159.0,960245.0,45727.8,1009782.0,26.10602192275564,12.128152261047902,3.386816876041248,3.385829686106048,292665.6,280378.2,292318.8,159061.8,292082.0,292029.0,292335.8,259607.40000000002,16459.8,32053.0,2871.286,65316.5526,86749.15479999999,29964.834199999998,7868.696399999999,22096.137800000004,1350.3896,87461.9994,66525.4834,2876.8,2624.8,35.6,41.4,1166359247.6051147,29674.557676805485,83.01548254969885,0.865755556937869
2003,aguascalientes,asientos,19.2,6.42,8324.8,11360.6,23247.0,39240.6,38817.8,411.8,39433.4,27.32,7.4399999999999995,4.92,4.73,8027.2,7994.8,7459.0,348.0,6726.4,7628.2,6696.2,5400.6,225.0,82.0,2.991,43.02,57.921,18.273,2.97,15.303,1.294,57.921,43.182,9.0,6.0,0.0,1.0,543374266.4749641,463.38890382264776,58.95256305568376,0.07257134250360546
2008,aguascalientes,asientos,20.6,7.03,9537.8,12603.2,35779.8,43392.6,42808.0,567.0,43514.0,27.5,7.78,4.644,4.5520000000000005,9399.4,9383.4,9003.2,961.5999999999999,8404.8,9097.6,8418.0,6782.4,280.0,217.0,8.804,136.715,146.837,20.909,9.802,11.107,4.395,146.847,138.49,7.0,6.0,0.0,1.0,543374266.4749641,480.5120191202831,82.22595026887899,0.08008108349018567
2013,aguascalientes,asientos,21.9,7.635826587132509,10767.5,13399.2,40585.1,47238.3,46448.2,769.0,47305.2,27.40945026787795,8.265266713254135,4.409816003833255,4.409239036836229,10770.3,10763.9,10469.2,1729.8,9992.9,10539.8,10008.1,8206.0,319.0,193.0,7.325,137.267,165.255,40.416,9.707,30.709,3.079,165.377,137.494,12.0,10.0,0.0,1.0,543374266.4749641,854.3669617716446,85.79416216399042,0.08705822656432254
2018,aguascalientes,asientos,23.4,8.278870899020024,12035.0,13861.2,42968.6,50263.8,49245.2,999.0,50327.2,26.9252007143412,8.874044568677695,4.19284267688868,4.191304098229944,12035.8,12025.4,11841.2,2512.8,11474.4,11882.8,11461.6,9706.0,382.0,227.0,15.889,370.483,434.707,99.209,33.213,65.996,4.494,434.893,375.211,20.0,17.0,0.0,1.0,543374266.4749641,1971.279944046162,85.3784832059006,0.0926197707640592
2024,aguascalientes,asientos,25.2,9.050524073285041,13556.0,14415.6,45828.8,53894.4,52601.6,1275.0,53953.6,26.3441012500971,9.604577995185966,3.9324746845551903,3.9297821719024015,13554.4,13539.2,13487.599999999999,3452.4,13252.2,13494.400000000001,13205.8,11506.0,457.6,267.8,26.1658,650.3422,758.0494,169.7606,61.4202,108.34039999999999,6.191999999999999,758.3121999999998,660.4714000000001,29.6,25.4,0.0,1.0,543374266.4749641,3146.418403961923,84.9411346045491,0.0992936238037432
